round	well	tile	channel
1	A1	56	GFP
1	A1	57	AF750
1	A1	57	CY3
1	A1	57	CY5
1	A1	57	DAPI
1	A1	57	GFP
1	A1	58	AF750
1	A1	58	CY3
1	A1	58	CY5
1	A1	58	DAPI
1	A1	58	GFP
1	A1	59	AF750
1	A1	59	CY3
1	A1	59	CY5
1	A1	59	DAPI
1	A1	59	GFP
1	A1	60	AF750
1	A1	60	CY3
1	A1	60	CY5
1	A1	60	DAPI
1	A1	60	GFP
1	A1	61	AF750
1	A1	61	CY3
1	A1	61	CY5
1	A1	61	DAPI
1	A1	61	GFP
1	A1	62	AF750
1	A1	62	CY3
1	A1	62	CY5
1	A1	62	DAPI
1	A1	62	GFP
1	A1	63	AF750
1	A1	63	CY3
1	A1	63	CY5
1	A1	63	DAPI
1	A1	63	GFP
1	A1	64	AF750
1	A1	64	CY3
1	A1	64	CY5
1	A1	64	DAPI
1	A1	64	GFP
1	A1	65	AF750
1	A1	65	CY3
1	A1	65	CY5
1	A1	65	DAPI
1	A1	65	GFP
1	A1	66	AF750
1	A1	66	CY3
1	A1	66	CY5
1	A1	66	DAPI
1	A1	66	GFP
1	A1	67	AF750
1	A1	67	CY3
1	A1	67	CY5
1	A1	67	DAPI
1	A1	67	GFP
1	A1	68	AF750
1	A1	68	CY3
1	A1	68	CY5
1	A1	68	DAPI
1	A1	68	GFP
1	A1	69	AF750
1	A1	69	CY3
1	A1	69	CY5
1	A1	69	DAPI
1	A1	69	GFP
1	A1	70	AF750
1	A1	70	CY3
1	A1	70	CY5
1	A1	70	DAPI
1	A1	70	GFP
1	A1	71	AF750
1	A1	71	CY3
1	A1	71	CY5
1	A1	71	DAPI
1	A1	71	GFP
1	A1	72	AF750
1	A1	72	CY3
1	A1	72	CY5
1	A1	72	DAPI
1	A1	72	GFP
1	A1	73	AF750
1	A1	73	CY3
1	A1	73	CY5
1	A1	73	DAPI
1	A1	73	GFP
1	A1	74	AF750
1	A1	74	CY3
1	A1	74	CY5
1	A1	74	DAPI
1	A1	74	GFP
1	A1	75	AF750
1	A1	75	CY3
1	A1	75	CY5
1	A1	75	DAPI
1	A1	75	GFP
1	A1	76	AF750
1	A1	76	CY3
1	A1	76	CY5
1	A1	76	DAPI
1	A1	76	GFP
1	A1	77	AF750
1	A1	77	CY3
1	A1	77	CY5
1	A1	77	DAPI
1	A1	77	GFP
1	A1	78	AF750
1	A1	78	CY3
1	A1	78	CY5
1	A1	78	DAPI
1	A1	78	GFP
1	A1	79	AF750
1	A1	79	CY3
1	A1	79	CY5
1	A1	79	DAPI
1	A1	79	GFP
1	A1	80	AF750
1	A1	80	CY3
1	A1	80	CY5
1	A1	80	DAPI
1	A1	80	GFP
1	A1	81	AF750
1	A1	81	CY3
1	A1	81	CY5
1	A1	81	DAPI
1	A1	81	GFP
1	A1	82	AF750
1	A1	82	CY3
1	A1	82	CY5
1	A1	82	DAPI
1	A1	82	GFP
1	A1	83	AF750
1	A1	83	CY3
1	A1	83	CY5
1	A1	83	DAPI
1	A1	83	GFP
1	A1	84	AF750
1	A1	84	CY3
1	A1	84	CY5
