sample_fp	plate	well	round	tile	channel
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0008_ChannelCY3_30p_100ms_Seq0041.nd2	1	A1	1	8	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0008_ChannelCY5_40p_100ms_Seq0042.nd2	1	A1	1	8	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0008_ChannelDAPI_1p_50ms_Seq0040.nd2	1	A1	1	8	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0008_ChannelGFP_5p_100ms_Seq0044.nd2	1	A1	1	8	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0009_ChannelAF750_30p_100ms_Seq0048.nd2	1	A1	1	9	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0009_ChannelCY3_30p_100ms_Seq0046.nd2	1	A1	1	9	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0009_ChannelCY5_40p_100ms_Seq0047.nd2	1	A1	1	9	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0009_ChannelDAPI_1p_50ms_Seq0045.nd2	1	A1	1	9	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0009_ChannelGFP_5p_100ms_Seq0049.nd2	1	A1	1	9	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0010_ChannelAF750_30p_100ms_Seq0053.nd2	1	A1	1	10	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0010_ChannelCY3_30p_100ms_Seq0051.nd2	1	A1	1	10	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0010_ChannelCY5_40p_100ms_Seq0052.nd2	1	A1	1	10	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0010_ChannelDAPI_1p_50ms_Seq0050.nd2	1	A1	1	10	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0010_ChannelGFP_5p_100ms_Seq0054.nd2	1	A1	1	10	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0011_ChannelAF750_30p_100ms_Seq0058.nd2	1	A1	1	11	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0011_ChannelCY3_30p_100ms_Seq0056.nd2	1	A1	1	11	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0011_ChannelCY5_40p_100ms_Seq0057.nd2	1	A1	1	11	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0011_ChannelDAPI_1p_50ms_Seq0055.nd2	1	A1	1	11	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0011_ChannelGFP_5p_100ms_Seq0059.nd2	1	A1	1	11	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0012_ChannelAF750_30p_100ms_Seq0063.nd2	1	A1	1	12	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0012_ChannelCY3_30p_100ms_Seq0061.nd2	1	A1	1	12	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0012_ChannelCY5_40p_100ms_Seq0062.nd2	1	A1	1	12	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0012_ChannelDAPI_1p_50ms_Seq0060.nd2	1	A1	1	12	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0012_ChannelGFP_5p_100ms_Seq0064.nd2	1	A1	1	12	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0013_ChannelAF750_30p_100ms_Seq0068.nd2	1	A1	1	13	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0013_ChannelCY3_30p_100ms_Seq0066.nd2	1	A1	1	13	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0013_ChannelCY5_40p_100ms_Seq0067.nd2	1	A1	1	13	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0013_ChannelDAPI_1p_50ms_Seq0065.nd2	1	A1	1	13	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0013_ChannelGFP_5p_100ms_Seq0069.nd2	1	A1	1	13	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0014_ChannelAF750_30p_100ms_Seq0073.nd2	1	A1	1	14	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0014_ChannelCY3_30p_100ms_Seq0071.nd2	1	A1	1	14	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0014_ChannelCY5_40p_100ms_Seq0072.nd2	1	A1	1	14	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0014_ChannelDAPI_1p_50ms_Seq0070.nd2	1	A1	1	14	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0014_ChannelGFP_5p_100ms_Seq0074.nd2	1	A1	1	14	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0015_ChannelAF750_30p_100ms_Seq0078.nd2	1	A1	1	15	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0015_ChannelCY3_30p_100ms_Seq0076.nd2	1	A1	1	15	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0015_ChannelCY5_40p_100ms_Seq0077.nd2	1	A1	1	15	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0015_ChannelDAPI_1p_50ms_Seq0075.nd2	1	A1	1	15	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0015_ChannelGFP_5p_100ms_Seq0079.nd2	1	A1	1	15	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0016_ChannelAF750_30p_100ms_Seq0083.nd2	1	A1	1	16	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0016_ChannelCY3_30p_100ms_Seq0081.nd2	1	A1	1	16	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0016_ChannelCY5_40p_100ms_Seq0082.nd2	1	A1	1	16	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0016_ChannelDAPI_1p_50ms_Seq0080.nd2	1	A1	1	16	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0016_ChannelGFP_5p_100ms_Seq0084.nd2	1	A1	1	16	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0017_ChannelAF750_30p_100ms_Seq0088.nd2	1	A1	1	17	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0017_ChannelCY3_30p_100ms_Seq0086.nd2	1	A1	1	17	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0017_ChannelCY5_40p_100ms_Seq0087.nd2	1	A1	1	17	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0017_ChannelDAPI_1p_50ms_Seq0085.nd2	1	A1	1	17	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0017_ChannelGFP_5p_100ms_Seq0089.nd2	1	A1	1	17	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0018_ChannelAF750_30p_100ms_Seq0093.nd2	1	A1	1	18	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0018_ChannelCY3_30p_100ms_Seq0091.nd2	1	A1	1	18	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0018_ChannelCY5_40p_100ms_Seq0092.nd2	1	A1	1	18	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0018_ChannelDAPI_1p_50ms_Seq0090.nd2	1	A1	1	18	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0018_ChannelGFP_5p_100ms_Seq0094.nd2	1	A1	1	18	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0019_ChannelAF750_30p_100ms_Seq0098.nd2	1	A1	1	19	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0019_ChannelCY3_30p_100ms_Seq0096.nd2	1	A1	1	19	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0019_ChannelCY5_40p_100ms_Seq0097.nd2	1	A1	1	19	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0019_ChannelDAPI_1p_50ms_Seq0095.nd2	1	A1	1	19	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0019_ChannelGFP_5p_100ms_Seq0099.nd2	1	A1	1	19	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0020_ChannelAF750_30p_100ms_Seq0103.nd2	1	A1	1	20	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0020_ChannelCY3_30p_100ms_Seq0101.nd2	1	A1	1	20	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0020_ChannelCY5_40p_100ms_Seq0102.nd2	1	A1	1	20	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0020_ChannelDAPI_1p_50ms_Seq0100.nd2	1	A1	1	20	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0020_ChannelGFP_5p_100ms_Seq0104.nd2	1	A1	1	20	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0021_ChannelAF750_30p_100ms_Seq0108.nd2	1	A1	1	21	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0021_ChannelCY3_30p_100ms_Seq0106.nd2	1	A1	1	21	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0021_ChannelCY5_40p_100ms_Seq0107.nd2	1	A1	1	21	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0021_ChannelDAPI_1p_50ms_Seq0105.nd2	1	A1	1	21	DAPI
